"","year","race_new","ca_15_to_24_race_total","ca_15_to_24_pop","ca_15_to_24_share"
"71",2004,"Hispanic/Latino",2227090,5253629,0.423914593131719
"72",2004,"American Indian",36115,5253629,0.00687429584388239
"73",2004,"Asian/Pacific Islander",663925,5253629,0.126374549858774
"74",2004,"African American",374961,5253629,0.0713718079445656
"75",2004,"White",1951538,5253629,0.371464753221059
"76",2005,"Hispanic/Latino",2282374,5332357,0.428023480048316
"77",2005,"American Indian",36273,5332357,0.00680243277034902
"78",2005,"Asian/Pacific Islander",671935,5332357,0.126010880366787
"79",2005,"African American",382653,5332357,0.071760574170109
"80",2005,"White",1959122,5332357,0.367402632644438
"81",2006,"Hispanic/Latino",2338555,5389291,0.433926280841023
"82",2006,"American Indian",35623,5389291,0.00660996038254383
"83",2006,"Asian/Pacific Islander",677752,5389291,0.125759028413942
"84",2006,"African American",388298,5389291,0.0720499227078293
"85",2006,"White",1949063,5389291,0.361654807654662
"86",2007,"Hispanic/Latino",2394164,5452319,0.439109303765976
"87",2007,"American Indian",34958,5452319,0.00641158376830116
"88",2007,"Asian/Pacific Islander",687796,5452319,0.126147424609602
"89",2007,"African American",391975,5452319,0.0718914282161407
"90",2007,"White",1943426,5452319,0.356440259639981
"91",2008,"Hispanic/Latino",2456511,5508762,0.445927959857405
"92",2008,"American Indian",34065,5508762,0.00618378503191824
"93",2008,"Asian/Pacific Islander",700408,5508762,0.127144356572312
"94",2008,"African American",394772,5508762,0.071662562296211
"95",2008,"White",1923006,5508762,0.349081336242154
"96",2009,"Hispanic/Latino",2520191,5560027,0.453269561460763
"97",2009,"American Indian",33163,5560027,0.00596453938083394
"98",2009,"Asian/Pacific Islander",711478,5560027,0.127963047661459
"99",2009,"African American",396508,5560027,0.071314042180011
"100",2009,"White",1898687,5560027,0.341488809316933
"101",2010,"Hispanic/Latino",2576692,5593176,0.460684948944929
"102",2010,"American Indian",32458,5593176,0.00580314297279399
"103",2010,"Asian/Pacific Islander",720858,5593176,0.128881694407614
"104",2010,"African American",397286,5593176,0.0710304842901421
"105",2010,"White",1865882,5593176,0.333599729384521
"106",2011,"Hispanic/Latino",2602661,5604762,0.464366015898623
"107",2011,"American Indian",32326,5604762,0.00576759548398308
"108",2011,"Asian/Pacific Islander",728092,5604762,0.12990596210865
"109",2011,"African American",398379,5604762,0.0710786648924611
"110",2011,"White",1843304,5604762,0.328881761616283
"111",2012,"Hispanic/Latino",2624387,5607057,0.468050708241418
"112",2012,"American Indian",32328,5607057,0.00576559146803751
"113",2012,"Asian/Pacific Islander",732211,5607057,0.130587400841475
"114",2012,"African American",397618,5607057,0.0709138501713109
"115",2012,"White",1820513,5607057,0.324682449277758
"116",2013,"Hispanic/Latino",2637045,5576458,0.472888883947481
"117",2013,"American Indian",31993,5576458,0.0057371543011711
"118",2013,"Asian/Pacific Islander",731079,5576458,0.131100960502168
"119",2013,"African American",393474,5576458,0.0705598428249617
"120",2013,"White",1782867,5576458,0.319713158424218
"121",2014,"Hispanic/Latino",2646808,5533770,0.478301049736436
"122",2014,"American Indian",31601,5533770,0.0057105734426982
"123",2014,"Asian/Pacific Islander",725969,5533770,0.131188864011334
"124",2014,"African American",387316,5533770,0.0699913440565835
"125",2014,"White",1742076,5533770,0.314808168752948
"126",2015,"Hispanic/Latino",2643616,5470124,0.483282645877863
"127",2015,"American Indian",30876,5470124,0.0056444789917011
"128",2015,"Asian/Pacific Islander",725276,5470124,0.132588584829156
"129",2015,"African American",378358,5470124,0.0691680846723036
"130",2015,"White",1691998,5470124,0.309316205628977
"131",2016,"Hispanic/Latino",2627667,5384918,0.487967876205357
"132",2016,"American Indian",29938,5384918,0.0055596018360911
"133",2016,"Asian/Pacific Islander",721119,5384918,0.133914574000941
"134",2016,"African American",367522,5384918,0.0682502500502329
"135",2016,"White",1638672,5384918,0.304307697907378
"136",2017,"Hispanic/Latino",2604386,5306368,0.490803879414319
"137",2017,"American Indian",28990,5306368,0.00546324717773061
"138",2017,"Asian/Pacific Islander",719552,5306368,0.135601601698186
"139",2017,"African American",358097,5306368,0.0674843885686029
"140",2017,"White",1595343,5306368,0.300646883141162
"141",2018,"Hispanic/Latino",2585353,5242173,0.493183456555135
"142",2018,"American Indian",28118,5242173,0.00536380619258464
"143",2018,"Asian/Pacific Islander",719024,5242173,0.137161440494238
"144",2018,"African American",349074,5242173,0.0665895612372961
"145",2018,"White",1560604,5242173,0.297701735520747
"146",2019,"Hispanic/Latino",2569363,5180973,0.495922870086372
"147",2019,"American Indian",27301,5180973,0.00526947351395192
"148",2019,"Asian/Pacific Islander",719421,5180973,0.138858280095264
"149",2019,"African American",339477,5180973,0.065523792538583
"150",2019,"White",1525411,5180973,0.294425583765829
