"","year","race_new","ca_15_to_24_race_total","ca_15_to_24_pop","ca_15_to_24_share"
"1",1990,"Hispanic/Latino",1632135,4595862,0.355131420395129
"2",1990,"American Indian",30941,4595862,0.00673236054520349
"3",1990,"Asian/Pacific Islander",453053,4595862,0.098578460362822
"4",1990,"African American",354511,4595862,0.0771369984564376
"5",1990,"White",2125222,4595862,0.462420760240408
"6",1991,"Hispanic/Latino",1620150,4489233,0.360896839170522
"7",1991,"American Indian",30521,4489233,0.00679871149481437
"8",1991,"Asian/Pacific Islander",468377,4489233,0.10433341285694
"9",1991,"African American",342335,4489233,0.0762569017914642
"10",1991,"White",2027850,4489233,0.451714134686259
"11",1992,"Hispanic/Latino",1625250,4434013,0.366541550509662
"12",1992,"American Indian",30550,4434013,0.00688992116171062
"13",1992,"Asian/Pacific Islander",485942,4434013,0.109594175750049
"14",1992,"African American",337137,4434013,0.0760342831651599
"15",1992,"White",1955134,4434013,0.440940069413419
"16",1993,"Hispanic/Latino",1642072,4362703,0.376388674635885
"17",1993,"American Indian",30409,4362703,0.00697022006769656
"18",1993,"Asian/Pacific Islander",499705,4362703,0.114540228844366
"19",1993,"African American",325942,4362703,0.0747110220429857
"20",1993,"White",1864575,4362703,0.427389854409067
"21",1994,"Hispanic/Latino",1654122,4300874,0.384601362420754
"22",1994,"American Indian",30244,4300874,0.00703205906520396
"23",1994,"Asian/Pacific Islander",508843,4300874,0.118311533888228
"24",1994,"African American",318409,4300874,0.0740335569002951
"25",1994,"White",1789256,4300874,0.416021487725518
"26",1995,"Hispanic/Latino",1677002,4273855,0.392386264859243
"27",1995,"American Indian",30253,4273855,0.00707862105756981
"28",1995,"Asian/Pacific Islander",517499,4273855,0.121084828568119
"29",1995,"African American",314658,4273855,0.0736239296840908
"30",1995,"White",1734443,4273855,0.405826355830977
"31",1996,"Hispanic/Latino",1720405,4294266,0.400628419385292
"32",1996,"American Indian",30969,4294266,0.00721170975435616
"33",1996,"Asian/Pacific Islander",524901,4294266,0.122232996279224
"34",1996,"African American",314928,4294266,0.073336863622328
"35",1996,"White",1703063,4294266,0.396590010958799
"36",1997,"Hispanic/Latino",1789051,4404258,0.406209400085099
"37",1997,"American Indian",31555,4404258,0.00716465747465294
"38",1997,"Asian/Pacific Islander",540164,4404258,0.122645857713149
"39",1997,"African American",320740,4404258,0.0728249798263408
"40",1997,"White",1722748,4404258,0.391155104900757
"41",1998,"Hispanic/Latino",1865291,4547254,0.410201629378961
"42",1998,"American Indian",32583,4547254,0.00716542335220333
"43",1998,"Asian/Pacific Islander",559150,4547254,0.122964320884648
"44",1998,"African American",328040,4547254,0.0721402411213449
"45",1998,"White",1762190,4547254,0.387528385262842
"46",1999,"Hispanic/Latino",1946068,4706286,0.41350398169597
"47",1999,"American Indian",33623,4706286,0.00714427469983762
"48",1999,"Asian/Pacific Islander",580360,4706286,0.123315922576741
"49",1999,"African American",337117,4706286,0.0716312183322475
"50",1999,"White",1809118,4706286,0.384404602695204
"51",2000,"Hispanic/Latino",2024468,4862503,0.416342776549444
"52",2000,"American Indian",35030,4862503,0.00720410866584555
"53",2000,"Asian/Pacific Islander",601823,4862503,0.123768149860267
"54",2000,"African American",345889,4862503,0.0711339406885713
"55",2000,"White",1855293,4862503,0.381551024235872
"56",2001,"Hispanic/Latino",2073096,4985100,0.415858458205452
"57",2001,"American Indian",35667,4985100,0.00715472106878498
"58",2001,"Asian/Pacific Islander",623375,4985100,0.12504764197308
"59",2001,"African American",354194,4985100,0.0710505305811318
"60",2001,"White",1898768,4985100,0.380888648171551
"61",2002,"Hispanic/Latino",2122483,5083312,0.417539391640726
"62",2002,"American Indian",35763,5083312,0.00703537378779819
"63",2002,"Asian/Pacific Islander",639880,5083312,0.125878561064125
"64",2002,"African American",361179,5083312,0.0710519047424199
"65",2002,"White",1924007,5083312,0.378494768764931
"66",2003,"Hispanic/Latino",2173691,5164655,0.420878258083067
"67",2003,"American Indian",35959,5164655,0.00696251734142939
"68",2003,"Asian/Pacific Islander",653458,5164655,0.126525005058421
"69",2003,"African American",367139,5164655,0.0710868392951707
"70",2003,"White",1934408,5164655,0.374547380221912
