"","year","race_new","ca_20_to_24_race_total","ca_20_to_24_pop","ca_20_to_24_share"
"1",1990,"Hispanic/Latino",892656,2517089,0.354638234881643
"2",1990,"American Indian",15905,2517089,0.00631880716176504
"3",1990,"Asian/Pacific Islander",231712,2517089,0.0920555451158064
"4",1990,"African American",190451,2517089,0.075663196652959
"5",1990,"White",1186365,2517089,0.471324216187826
"6",1991,"Hispanic/Latino",888105,2476628,0.358594427584603
"7",1991,"American Indian",15836,2476628,0.00639417789026047
"8",1991,"Asian/Pacific Islander",250012,2476628,0.100948547783519
"9",1991,"African American",182031,2476628,0.0734995324287701
"10",1991,"White",1140644,2476628,0.460563314312848
"11",1992,"Hispanic/Latino",880193,2428532,0.362438296057042
"12",1992,"American Indian",15940,2428532,0.00656363597432523
"13",1992,"Asian/Pacific Islander",267056,2428532,0.109966020624805
"14",1992,"African American",175780,2428532,0.0723811751296668
"15",1992,"White",1089563,2428532,0.448650872214161
"16",1993,"Hispanic/Latino",879435,2353487,0.373673192161248
"17",1993,"American Indian",15778,2353487,0.00670409481760469
"18",1993,"Asian/Pacific Islander",277714,2353487,0.118001076700232
"19",1993,"African American",166262,2353487,0.0706449621349088
"20",1993,"White",1014298,2353487,0.430976674186006
"21",1994,"Hispanic/Latino",867562,2259300,0.383995927942283
"22",1994,"American Indian",15423,2259300,0.00682645067056168
"23",1994,"Asian/Pacific Islander",280684,2259300,0.124234940025672
"24",1994,"African American",156591,2259300,0.0693095206479883
"25",1994,"White",939040,2259300,0.415633160713495
"26",1995,"Hispanic/Latino",864499,2182162,0.396166279130514
"27",1995,"American Indian",14979,2182162,0.00686429330178053
"28",1995,"Asian/Pacific Islander",279160,2182162,0.127928173985249
"29",1995,"African American",149243,2182162,0.0683922641857021
"30",1995,"White",874281,2182162,0.400648989396754
"31",1996,"Hispanic/Latino",870537,2126179,0.409437305137526
"32",1996,"American Indian",14730,2126179,0.00692792093233919
"33",1996,"Asian/Pacific Islander",274122,2126179,0.128927056470786
"34",1996,"African American",145060,2126179,0.0682256762012982
"35",1996,"White",821730,2126179,0.38648204125805
"36",1997,"Hispanic/Latino",901493,2156819,0.417973413624416
"37",1997,"American Indian",14565,2156819,0.00675300059949398
"38",1997,"Asian/Pacific Islander",274895,2156819,0.127453903178709
"39",1997,"African American",147237,2156819,0.0682658118275108
"40",1997,"White",818629,2156819,0.37955387076987
"41",1998,"Hispanic/Latino",938201,2213601,0.423834738058033
"42",1998,"American Indian",14929,2213601,0.0067442145174311
"43",1998,"Asian/Pacific Islander",278990,2213601,0.126034456977567
"44",1998,"African American",149941,2213601,0.0677362361148192
"45",1998,"White",831540,2213601,0.375650354332149
"46",1999,"Hispanic/Latino",983103,2303169,0.4268479646956
"47",1999,"American Indian",15451,2303169,0.00670858282653162
"48",1999,"Asian/Pacific Islander",288466,2303169,0.125247430822488
"49",1999,"African American",156410,2303169,0.0679107785837687
"50",1999,"White",859739,2303169,0.373285243071611
"51",2000,"Hispanic/Latino",1029110,2402521,0.428345891669625
"52",2000,"American Indian",16369,2402521,0.00681325990490822
"53",2000,"Asian/Pacific Islander",301936,2402521,0.125674655913518
"54",2000,"African American",162850,2402521,0.0677829663091394
"55",2000,"White",892256,2402521,0.371383226202809
"56",2001,"Hispanic/Latino",1054281,2500519,0.421624870676848
"57",2001,"American Indian",16867,2500519,0.00674539965503162
"58",2001,"Asian/Pacific Islander",325107,2500519,0.13001580871811
"59",2001,"African American",167785,2500519,0.0671000700254627
"60",2001,"White",936479,2500519,0.374513850924548
"61",2002,"Hispanic/Latino",1081719,2567429,0.421323822391973
"62",2002,"American Indian",17072,2567429,0.00664945359735362
"63",2002,"Asian/Pacific Islander",340714,2567429,0.132706298791515
"64",2002,"African American",171156,2567429,0.0666643556647526
"65",2002,"White",956768,2567429,0.372656069554406
"66",2003,"Hispanic/Latino",1103312,2605156,0.423510914509534
"67",2003,"American Indian",17220,2605156,0.00660996884639538
"68",2003,"Asian/Pacific Islander",349149,2605156,0.134022300391992
"69",2003,"African American",172133,2605156,0.0660739702344121
"70",2003,"White",963342,2605156,0.369782846017666
"71",2004,"Hispanic/Latino",1119781,2636763,0.424680185515346
"72",2004,"American Indian",17370,2636763,0.00658762277838395
"73",2004,"Asian/Pacific Islander",352486,2636763,0.133681335789375
"74",2004,"African American",173808,2636763,0.0659171870964512
"75",2004,"White",973318,2636763,0.369133668820444
"76",2005,"Hispanic/Latino",1127458,2648417,0.425710150629602
"77",2005,"American Indian",17255,2648417,0.00651521267232464
"78",2005,"Asian/Pacific Islander",353292,2648417,0.133397421931667
"79",2005,"African American",174970,2648417,0.0660658801087593
"80",2005,"White",975442,2648417,0.368311334657646
"81",2006,"Hispanic/Latino",1133232,2645442,0.428371515988633
"82",2006,"American Indian",16874,2645442,0.0063785182211517
"83",2006,"Asian/Pacific Islander",351633,2645442,0.13292032106544
"84",2006,"African American",176702,2645442,0.0667948872059943
"85",2006,"White",967001,2645442,0.365534757518781
"86",2007,"Hispanic/Latino",1139740,2658718,0.428680288770753
"87",2007,"American Indian",16454,2658718,0.00618869695845893
"88",2007,"Asian/Pacific Islander",353439,2658718,0.132935873605249
"89",2007,"African American",178569,2658718,0.0671635728196823
"90",2007,"White",970516,2658718,0.365031567845857
"91",2008,"Hispanic/Latino",1158637,2685532,0.431436676233983
"92",2008,"American Indian",16115,2685532,0.00600067323718355
"93",2008,"Asian/Pacific Islander",360057,2685532,0.134072876435656
"94",2008,"African American",181674,2685532,0.0676491659753077
"95",2008,"White",969049,2685532,0.36084060811787
"96",2009,"Hispanic/Latino",1185186,2725786,0.434805226822649
"97",2009,"American Indian",15806,2725786,0.00579869439493783
"98",2009,"Asian/Pacific Islander",368612,2725786,0.135231452505809
"99",2009,"African American",186108,2725786,0.0682768199704599
"100",2009,"White",970074,2725786,0.355887806306144
"101",2010,"Hispanic/Latino",1225429,2784890,0.440027792839214
"102",2010,"American Indian",15828,2784890,0.00568352789517719
"103",2010,"Asian/Pacific Islander",378051,2784890,0.135750783693431
"104",2010,"African American",192352,2784890,0.0690698734959011
"105",2010,"White",973230,2784890,0.349468022076276
"106",2011,"Hispanic/Latino",1262128,2859272,0.441415856903436
"107",2011,"American Indian",16199,2859272,0.00566542812296277
"108",2011,"Asian/Pacific Islander",393528,2859272,0.137632236457392
"109",2011,"African American",201162,2859272,0.0703542719965082
"110",2011,"White",986255,2859272,0.344932206519702
"111",2012,"Hispanic/Latino",1299038,2909112,0.446541075077206
"112",2012,"American Indian",16760,2909112,0.00576120823124032
"113",2012,"Asian/Pacific Islander",400104,2909112,0.137534752873042
"114",2012,"African American",207025,2909112,0.0711643278086234
